word,true_label
brother,masc
dad,masc
dad,masc
daddy,masc
daddy,masc
father,masc
father-in-law,masc
fiance,masc
grandfather,masc
grandson,masc
husband,masc
nephew,masc
son,masc
son-in-law,masc
step-father,masc
stepfather,masc
uncle,masc
widower,masc
bachelor,masc
boy,masc
boyfriend,masc
gentleman,masc
groom,masc
lad,masc
male,masc
man,masc
manservant,masc
steward,masc
swain,masc
wizard,masc
businessman,masc
chairman,masc
fireman,masc
headmaster,masc
landlord,masc
milkman,masc
policeman,masc
salesman,masc
waiter,masc
friar,masc
monk,masc
Mr.,masc
baron,masc
count,masc
czar,masc
duke,masc
earl,masc
emperor,masc
king,masc
prince,masc
signor,masc
sir,masc
viscount,masc
sister,fem
mum,fem
mom,fem
mummy,fem
mommy,fem
mother,fem
mother-in-law,fem
fiancee,fem
grandmother,fem
granddaughter,fem
wife,fem
niece,fem
daughter,fem
daughter-in-law,fem
step-mother,fem
stepmother,fem
aunt,fem
widow,fem
spinster,fem
girl,fem
girlfriend,fem
lady,fem
bride,fem
lass,fem
female,fem
woman,fem
maidservant,fem
stewardess,fem
nymph,fem
witch,fem
businesswoman,fem
chairwoman,fem
firewoman,fem
headmistress,fem
landlady,fem
milkmaid,fem
policewoman,fem
saleswoman,fem
waitress,fem
nun,fem
nun,fem
Mrs.,fem
baroness,fem
countess,fem
czarina,fem
duchess,fem
countess,fem
empress,fem
queen,fem
princess,fem
signora,fem
madam,fem
viscountess,fem
sibling,neutral
parent,neutral
parent-in-law,neutral
betrothed,neutral
grandparent,neutral
grandchild,neutral
spouse,neutral
child,neutral
child-in-law,neutral
step-parent,neutral
stepparent,neutral
single person,neutral
child,neutral
partner,neutral
person,neutral
servant,neutral
attendant,neutral
spirit,neutral
business person,neutral
chairperson,neutral
fire fighter,neutral
head teacher,neutral
renter,neutral
police officer,neutral
salesperson,neutral
server,neutral
Mx.,neutral
ruler,neutral
