word,true_label,mw_label,wn_label,dc_label,comb_label
brother,masc,masc,masc,masc,masc
dad,masc,masc,masc,masc,masc
dad,masc,masc,masc,masc,masc
daddy,masc,masc,masc,masc,masc
daddy,masc,masc,masc,masc,masc
father,masc,masc,masc,masc,masc
father-in-law,masc,masc,masc,masc,masc
fiance,masc,neutral,masc,masc,masc
grandfather,masc,neutral,masc,masc,masc
grandson,masc,masc,masc,masc,masc
husband,masc,masc,masc,masc,masc
nephew,masc,masc,masc,masc,masc
son,masc,masc,masc,masc,masc
son-in-law,masc,masc,neutral,masc,masc
step-father,masc,masc,neutral,not_found,neutral
stepfather,masc,masc,neutral,masc,masc
uncle,masc,masc,masc,masc,masc
widower,masc,masc,neutral,masc,masc
bachelor,masc,masc,masc,masc,masc
boy,masc,masc,masc,masc,masc
boyfriend,masc,masc,neutral,masc,masc
gentleman,masc,masc,masc,masc,masc
groom,masc,masc,masc,neutral,masc
lad,masc,neutral,masc,masc,masc
male,masc,masc,masc,masc,masc
man,masc,masc,masc,masc,masc
manservant,masc,masc,masc,masc,masc
steward,masc,neutral,neutral,neutral,neutral
swain,masc,masc,neutral,masc,masc
wizard,masc,neutral,neutral,masc,neutral
businessman,masc,masc,masc,masc,masc
chairman,masc,masc,masc,masc,masc
fireman,masc,masc,masc,masc,masc
headmaster,masc,masc,neutral,masc,masc
landlord,masc,neutral,neutral,masc,neutral
milkman,masc,masc,masc,masc,masc
policeman,masc,masc,masc,masc,masc
salesman,masc,masc,masc,masc,masc
waiter,masc,neutral,neutral,masc,neutral
friar,masc,neutral,masc,neutral,neutral
monk,masc,neutral,masc,masc,masc
Mr.,masc,neutral,masc,masc,masc
baron,masc,neutral,neutral,neutral,neutral
count,masc,neutral,neutral,neutral,neutral
czar,masc,masc,masc,neutral,masc
duke,masc,neutral,neutral,masc,neutral
earl,masc,neutral,neutral,masc,neutral
emperor,masc,masc,masc,masc,masc
king,masc,neutral,masc,masc,masc
prince,masc,neutral,masc,masc,masc
signor,masc,masc,neutral,masc,masc
sir,masc,not_found,masc,masc,masc
viscount,masc,neutral,masc,neutral,neutral
sister,fem,fem,fem,fem,fem
mum,fem,neutral,fem,neutral,neutral
mom,fem,fem,fem,fem,fem
mummy,fem,neutral,fem,fem,fem
mommy,fem,fem,fem,neutral,fem
mother,fem,fem,fem,fem,fem
mother-in-law,fem,fem,fem,fem,fem
fiancee,fem,neutral,fem,fem,fem
grandmother,fem,fem,fem,fem,fem
granddaughter,fem,fem,fem,fem,fem
wife,fem,fem,fem,fem,fem
niece,fem,fem,fem,fem,fem
daughter,fem,fem,fem,fem,fem
daughter-in-law,fem,fem,neutral,fem,fem
step-mother,fem,fem,neutral,not_found,neutral
stepmother,fem,fem,neutral,fem,fem
aunt,fem,fem,fem,fem,fem
widow,fem,neutral,neutral,fem,neutral
spinster,fem,fem,fem,fem,fem
girl,fem,fem,fem,fem,fem
girlfriend,fem,neutral,fem,fem,fem
lady,fem,fem,fem,fem,fem
bride,fem,fem,fem,fem,fem
lass,fem,neutral,fem,fem,fem
female,fem,fem,fem,fem,fem
woman,fem,fem,fem,fem,fem
maidservant,fem,fem,fem,fem,fem
stewardess,fem,fem,fem,fem,fem
nymph,fem,neutral,fem,neutral,neutral
witch,fem,neutral,fem,fem,fem
businesswoman,fem,fem,fem,fem,fem
chairwoman,fem,fem,fem,fem,fem
firewoman,fem,fem,fem,fem,fem
headmistress,fem,fem,fem,fem,fem
landlady,fem,fem,fem,fem,fem
milkmaid,fem,neutral,fem,fem,fem
policewoman,fem,fem,fem,fem,fem
saleswoman,fem,fem,fem,fem,fem
waitress,fem,fem,fem,fem,fem
nun,fem,fem,fem,neutral,fem
nun,fem,fem,fem,neutral,fem
Mrs.,fem,not_found,fem,fem,fem
baroness,fem,fem,fem,fem,fem
countess,fem,fem,fem,fem,fem
czarina,fem,fem,fem,fem,fem
duchess,fem,fem,fem,fem,fem
countess,fem,fem,fem,fem,fem
empress,fem,fem,fem,fem,fem
queen,fem,fem,fem,fem,fem
princess,fem,fem,fem,fem,fem
signora,fem,fem,fem,fem,fem
madam,fem,fem,fem,fem,fem
viscountess,fem,fem,fem,fem,fem
sibling,neutral,neutral,neutral,neutral,neutral
parent,neutral,neutral,neutral,neutral,neutral
parent-in-law,neutral,neutral,not_found,neutral,neutral
betrothed,neutral,neutral,neutral,neutral,neutral
grandparent,neutral,neutral,neutral,neutral,neutral
grandchild,neutral,neutral,neutral,neutral,neutral
spouse,neutral,neutral,neutral,neutral,neutral
child,neutral,neutral,neutral,neutral,neutral
child-in-law,neutral,not_found,not_found,not_found,not_found
step-parent,neutral,neutral,neutral,neutral,neutral
stepparent,neutral,neutral,neutral,neutral,neutral
single person,neutral,not_found,not_found,not_found,not_found
child,neutral,neutral,neutral,neutral,neutral
partner,neutral,neutral,neutral,neutral,neutral
person,neutral,neutral,neutral,neutral,neutral
servant,neutral,neutral,neutral,neutral,neutral
attendant,neutral,neutral,neutral,neutral,neutral
spirit,neutral,neutral,neutral,neutral,neutral
business person,neutral,neutral,neutral,not_found,neutral
chairperson,neutral,neutral,neutral,neutral,neutral
fire fighter,neutral,neutral,neutral,not_found,neutral
head teacher,neutral,neutral,neutral,neutral,neutral
renter,neutral,neutral,neutral,neutral,neutral
police officer,neutral,neutral,neutral,neutral,neutral
salesperson,neutral,neutral,neutral,neutral,neutral
server,neutral,neutral,neutral,neutral,neutral
Mx.,neutral,not_found,neutral,neutral,neutral
ruler,neutral,neutral,neutral,neutral,neutral
